"event_time","visitor_id","item_id","transaction_id","event_type","event_date"
"2015-07-01 22:59:59.764","960340","137390",,"addtocart","2015-07-01"
"2015-06-28 03:02:59.657","582867","171771",,"view","2015-06-28"
"2015-07-01 12:41:54.975","218991","318117",,"addtocart","2015-07-01"
"2015-07-01 18:09:32.528","1086723","357978",,"addtocart","2015-07-01"
"2015-07-01 11:51:53.284","993852","463002",,"addtocart","2015-07-01"
"2015-07-01 20:58:33.562","1298730","428775",,"addtocart","2015-07-01"
"2015-07-01 01:43:43.587","1150086","94019",,"addtocart","2015-07-01"
"2015-06-28 23:46:33.396","1339036","287371",,"view","2015-06-28"
"2015-06-28 14:49:58.140","476100","302329",,"view","2015-06-28"
"2015-06-28 14:47:43.579","476100","302329",,"view","2015-06-28"
